state_abbr,Title,Latitude,Longitude,Fatalities,Injured,Victims,Year,
AL,Wetumpka Drive-by                                               ,32.5,-86.2,2,2,4,2016
AL,Greenhill, AL Family murder-suicide                             ,34.8,-86.6,2,2,3,2016
AL,University of Alabama in Huntsville                             ,34.7,-86.7,0,3,6,2010
AL,Alabama highway random shooting                                 ,34.2,-86.5,1,4,4,2016
AL,Cottonwood                                                      ,31.1,-85.3,3,1,3,2015
AK,Bethel Regional High School                                     ,60.8,-161.8,2,2,4,1997
AZ,Tucson                                                          ,32.2,-111,5,0,4,2015
AZ,Northern Arizona University at Flagstaff Campus                 ,35.2,-111.7,1,3,4,2015
AZ,Rose-Mar College of Beauty                                      ,33.4,-111.8,5,1,6,1966
AZ,Wat Promkunaram Buddhist Temple                                 ,33.6,-112.1,9,0,9,1991
AZ,Glendale, Arizona                                               ,33.6,-112.2,5,0,4,2016
AZ,Phoenix                                                         ,33.6,-112.1,5,0,4,2015
AR,Westside Middle School                                          ,35.8,-90.7,5,10,15,1998
CA,Ladera Ranch, Santa Ana, Tustin and Orange                      ,33.5,-117.6,4,3,6,2013
CA,Los Angeles Police Department                                   ,33.7,-117.8,4,2,7,2013
CA,Orange Glenn Post Office                                        ,33.1,-117.1,4,1,4,1989
CA,Caltrans Maintenance Yard                                       ,33.8,-117.8,5,2,6,1997
CA,Long Beach Street murder                                        ,33.8,-118.2,0,3,4,2016
CA,Covina, California                                              ,34.1,-117.9,10,2,11,2008
CA,Grover Cleveland Elementary School                              ,32.9,-117.1,2,9,11,1979
CA,Santa Monica College                                            ,34,-118.5,6,3,8,2013
CA,Cleveland Elementary School                                     ,38,-121.3,6,30,35,1989
CA,Los Angeles International Airport (LAX)                         ,34.2,-118.5,1,3,4,2013
CA,Offices of Pettit & Martin in San Francisco                     ,37.8,-122.4,9,6,14,1993
CA,Isla Vista                                                      ,34.4,-119.9,7,7,10,2014
CA,Riverside restaurant shooting                                   ,34,-117.5,1,3,4,2016
CA,Rivermark, Santa Clara, California                              ,37.4,-122,6,1,6,2009
CA,San Diego State University                                      ,32.9,-117.1,3,0,3,1996
CA,Dana Point Post Office                                          ,33.5,-117.7,1,5,6,1993
CA,McDonald's restaurant in San Ysidro                             ,32.6,-117,22,19,40,1984
CO,Colorado Springs, Colorado                                      ,38.9,-104.8,3,9,12,2015
CO,Colorado Springs                                                ,38.9,-104.8,4,0,3,2015
CO,Movie Theater in Aurora                                         ,39.7,-105,12,58,70,2012
CT,Hartford Beer Distributors                                      ,41.8,-72.5,9,2,10,2010
CT,Connecticut State Lottery Headquarters                          ,41.7,-72.7,5,0,4,1998
FL,Radisson Bay Harbor Inn                                         ,28,-82.4,5,3,8,1999
FL,Pinellas Park High School                                       ,27.8,-82.7,1,2,3,1988
FL,Plantation, Florida                                             ,26.1,-80.2,1,4,5,2016
FL,Daytona Beach                                                   ,29.2,-81.1,0,4,4,2015
FL,Tampa, FL Strip club shooting                                   ,28,-82.5,2,6,8,2016
FL,Hialeah Apartments                                              ,25.9,-80.3,7,0,6,2013
FL,Orlando, Florida                                                ,28.5,-81.5,2,10,12,2016
FL,Palm Bay Shopping Centers                                       ,28,-80.7,6,14,20,1987
FL,Welding shop in Miami                                           ,25.8,-80.2,9,3,11,1982
FL,Florida family murder                                           ,30.8,-86.6,3,0,3,2016
FL,Inglis, Florida                                                 ,29,-82.7,3,1,3,2015
FL,Residence in Lakeland, Florida                                  ,28,-81.9,3,1,4,2016
GA,Conyers                                                         ,33.7,-84,3,2,4,2015
GA,Clarkesville                                                    ,34.6,-83.5,3,2,4,2015
GA,Atlanta Nightclub shooting                                      ,33.7,-84.4,0,4,4,2016
GA,Douglasville                                                    ,33.7,-84.7,5,2,6,2015
GA,Atlanta Post Office                                             ,33.8,-84.4,2,1,3,1985
GA,Rome                                                            ,34.3,-85.2,1,3,4,2015
GA,Kennesaw FedEx                                                  ,34,-84.6,1,6,6,2014
GA,Offices of All-Tech Investment Group and Momentum Securities    ,33.8,-84.4,10,12,21,1999
ID,Moscow                                                          ,46.7,-117,3,1,4,2015
IL,Northern Illinois University                                    ,41.9,-88.7,6,17,22,2008
IL,Village of Manchester in Illinois                               ,39.5,-90.3,7,1,7,2013
IL,Navistar International                                          ,41.9,-87.9,6,4,9,2001
IL,Windy City Core Supply Warehouse                                ,41.8,-87.7,7,0,6,2003
IL,Chicago Birthday Party Bus Shooting                             ,41.9,-87.6,0,5,5,2016
IN,Indianapolis                                                    ,39.8,-86.1,0,5,5,2015
KS,Hesston, Kansas                                                 ,38.1,-97.4,4,14,17,2016
KS,Kansas City Home Invasion                                       ,39.1,-94.6,4,0,4,2016
KS,Goddard Junior High School                                      ,37.7,-97.6,1,3,4,1985
KY,Louisville, Kentucky                                            ,38.3,-85.8,4,0,3,2016
KY,Atlantis Plastics                                               ,37.8,-87.6,7,1,7,2008
KY,Heath High School                                               ,37.1,-88.7,3,5,8,1997
LA,New Orleans Police Shootings                                    ,30.1,-89.9,10,13,22,1972
LA,New Orleans gas station shoot-out                               ,30,-90.1,0,3,3,2016
LA,Lafayette, LA drive by                                          ,30.2,-92,0,4,4,2016
MD,Tire-Slashing revenge escalation                                ,39.3,-76.6,0,4,4,2016
MA,Massachusetts Abortion Clinic                                   ,42.3,-71.1,2,5,7,1994
MA,Simon's Rock College of Bard                                    ,42.2,-73.4,2,4,6,1992
MA,Edgewater Technology                                            ,42.3,-71.1,7,0,7,2000
MI,Royal Oak Post Office                                           ,42.5,-83.2,5,5,9,1991
MI,Kalamazoo, Michigan                                             ,42.2,-85.7,6,2,8,2016
MI,Michigan school shooting                                        ,43.2,-86.2,0,3,3,2016
MI,Detroit Strip Club Shootout                                     ,42.3,-83,0,5,5,2016
MI,Detroit Drive-by                                                ,42.3,-83,2,2,4,2016
MN,Red Lake High School                                            ,47.9,-95,10,5,14,2005
MN,Minneapolis, Minnesota                                          ,45,-93.3,0,5,5,2015
MS,Lockheed Martin                                                 ,32.4,-88.7,7,8,14,2003
MS,Pearl High School                                               ,32.3,-90.1,2,7,9,1997
MO,Tyrone                                                          ,37.2,-91.9,8,1,8,2015
MO,Ferguson, MO Drive by                                           ,38.7,-90.3,0,4,4,2016
MT,Deer Lodge                                                      ,46.4,-112.7,5,0,4,2015
NE,Omaha, Nebraska                                                 ,41.3,-96.1,2,3,5,2015
NV,Mojave High School Bus                                          ,36.2,-115.3,0,6,6,2007
NV,Valley High School                                              ,36.2,-115.3,1,2,3,1982
NV,Nellis Plaza                                                    ,36.2,-115.3,5,0,3,2014
NJ,Annual motorcycle event in Newark                               ,40.7,-74.2,1,3,4,2015
NJ,Trenton, NJ sidewalk shooting                                   ,40.2,-74.7,0,5,5,2016
NM,South Valley Residence                                          ,35.2,-106.8,5,0,5,2013
NM,Albuquerque, NM Family restaurant shooting                      ,35.1,-106.6,3,1,3,2016
NY,Schuyler County Office Building                                 ,42.4,-76.9,5,0,4,1992
NY,Mohawk and Herkimer Villages in New York                        ,43,-75,5,2,6,2013
NY,Immigration Services Center in Binghamton                       ,42.1,-75.9,14,4,17,2009
NY,Queens                                                          ,40.7,-73.9,4,1,4,2015
NY,Long Island Rail Road Commuter Train                            ,40.7,-73.6,6,19,25,1993
NY,Parking lot near Boys and Girls Club                            ,43.2,-77.6,3,4,7,2015
NC,Boom Boom Room                                                  ,34.9,-80,0,4,4,2015
NC,King, North Carolina                                            ,36.3,-80.4,4,0,3,2015
NC,Downtown Chapel Hill                                            ,35.9,-79,2,2,4,1995
NC,Louisburg, North Carolina                                       ,36.1,-78.3,3,0,3,2016
NC,Orange High School                                              ,36,-79.1,1,2,3,2006
OH,Columbus, Ohio                                                  ,40,-83,4,1,4,2015
OH,Colerain Township, Ohio                                         ,39.3,-84.6,2,1,3,2015
OH,SuccessTech Academy                                             ,41.5,-81.7,1,4,4,2007
OH,Case Western Reserve University                                 ,41.5,-81.7,1,2,3,2003
OK,Oklahoma City Residence                                         ,35.5,-97.5,4,0,4,2013
OK,Fort Gibson Middle School                                       ,35.8,-95.3,0,4,4,1999
OK,Post office in Edmond, Oklahoma                                 ,35.7,-97.4,15,6,20,1986
OR,Umpqua Community College                                        ,43.2,-123.4,10,7,16,2015
OR,Thurston High School                                            ,44.1,-123,4,25,29,1998
PA,Duquesne University                                             ,40.4,-80,0,5,5,2006
PA,Pennsburg, Souderton, Lansdale, Harleysville                    ,40.4,-75.5,7,1,7,2014
PA,Monroeville Macy's                                              ,40.4,-79.8,0,3,3,2015
PA,Parker Middle School Dance                                      ,41.9,-80.1,1,3,4,1998
SC,R.E. Phelon Company                                             ,33.5,-81.7,4,3,7,1997
SC,Johnston Post Office                                            ,33.8,-81.8,1,3,4,1983
SD,Platte, South Dakota                                            ,43.4,-98.8,6,0,5,2015
TN,Amnicola Training Center, Chattanooga                           ,35.1,-85.2,5,3,7,2015
TN,Memphis, TN gas station shooting                                ,35.1,-90,0,4,4,2016
TN,Bristol, Tennessee                                              ,36.6,-82.2,3,1,4,2015
TX,Sherman, Texas                                                  ,33.6,-96.6,4,0,3,2016
TX,Ianni's Club in Dallas                                          ,32.8,-96.8,6,1,7,1984
TX,Wedgwood Baptist Church                                         ,32.7,-97.3,8,7,14,1999
TX,University of Texas at Austin                                   ,30.2,-97.8,17,32,48,1966
TX,Fort Hood                                                       ,31.1,-97.7,4,16,19,2014
TX,Houston Drive-by                                                ,29.8,-95.4,0,5,5,2016
TX,Palo Duro High School                                           ,35.2,-101.9,0,6,6,1992
TX,Luby's Cafeteria in Killeen, Texas                              ,31.1,-97.7,24,20,43,1991
TX,Sherman, TX Family murder-suicide                               ,33.6,-96.6,4,0,3,2016
TX,Killeen                                                         ,31.1,-97.7,4,1,4,2015
UT,Weber State University                                          ,41.2,-112,1,3,3,1993
VA,Caroline County, VA Family Murder Suicide                       ,38,-77.3,2,2,3,2016
VA,Virginia WDBJ live TV interview shooting                        ,37.3,-80,3,1,3,2015
VA,Chesapeake, Virginia                                            ,36.8,-76.3,6,0,5,2016
VA,Richmond, Virginia                                              ,37.5,-77.4,2,2,3,2016
VA,Woodbridge, Virginia                                            ,38.7,-77.4,2,2,4,2016
WA,Wah Mee Club in Seattle                                         ,47.6,-122.3,13,1,14,1983
WA,Belfair, WA Family murder-suicide                               ,47.5,-122.8,5,0,4,2016
WA,Fairchild Air Force Base Hospital                               ,47.6,-117.6,5,23,27,1994
WA,St. Aloysius Church                                             ,47.7,-117.4,2,4,5,1971
WA,Pinewood Village Apartments                                     ,47.3,-122.3,5,0,4,2013
WA,Carnation, Washington                                           ,47.6,-121.9,6,0,6,2007
WA,Marysville-Pilchuck High School                                 ,48,-122.1,5,1,5,2014
WI,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,44.2,-88.4,4,1,4,2015
WI,Milwaukee Post Office                                           ,43.1,-88,2,2,3,1997
WI,Apartment in Crandon, Wisconsin                                 ,45.6,-88.9,7,1,7,2007
WI,Azana Spa in Brookfield                                         ,43.1,-88.1,4,4,7,2012
WY,Central Middle School                                           ,44.8,-107,1,4,4,1993
