state_abbr,Title,Latitude,Longitude,Fatalities,Injured,Victims,X,Desc,Year,
MI,"Kalamazoo, Michigan                                             ",42.2,-85.7,6,6,2,8,"On Saturday evening of February 20, 2016, the gunman shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.                                                                                                                                                                                                                                                   ",2016
MI,Michigan school shooting                                        ,43.2,-86.2,0,0,3,3,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.                                                                                                                                                                                                                                                                                                                     ",2016
MI,Detroit Strip Club Shootout                                     ,42.3,-83,0,0,5,5,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.                                                                                                                                                                                                                                                                                                                                                                                                                ",2016
MI,Detroit Drive-by                                                ,42.3,-83,2,2,2,4,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects                                                                                                                                                                                                                                                                                                                                                  ,2016
MN,Red Lake High School                                            ,47.9,-95,9,10,5,14,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.                                                                                                                                                                                                        ",2005
MN,"Minneapolis, Minnesota                                          ",45,-93.3,0,0,5,5,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15                                                                                                                                                                                                             ",2015
MS,Lockheed Martin                                                 ,32.4,-88.7,6,7,8,14,"On July 8, 2003, a 48-year-old factory worker at Lockheed Martin in Meridian, Mississippi was attending a diversity training workshop mandated by his employer before excusing himself. Minutes later, he returned to the meeting and began shooting at his coworkers, killing six and wounding eight more before killing himself. The shooting was thought to have been racially motivated.                                                                                                                                                              ",2003
MS,Pearl High School                                               ,32.3,-90.1,2,2,7,9,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.                                                                                                                                                                                                  ",1997
MO,Tyrone                                                          ,37.2,-91.9,7,8,1,8,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.                                                                                                                ",2015
MO,"Ferguson, MO Drive by                                           ",38.7,-90.3,0,0,4,4,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.                                                                                                                                                                                                                                                                                                                                                                   ,2016
MT,Deer Lodge                                                      ,46.4,-112.7,4,5,0,4,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.                                                                                                                                                                                                                                                                                                                                                                                                                                     ",2015
NE,"Omaha, Nebraska                                                 ",41.3,-96.1,2,2,3,5,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.                                                                                                                                                                                                                                                                                                                                               ,2015
NV,Mojave High School Bus                                          ,36.2,-115.3,0,0,6,6,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.                                                                                                                                   ",2007
NV,Valley High School                                              ,36.2,-115.3,1,1,2,3,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.                                                                                                                                                                                                                                                                                                                                                                                             ",1982
NV,Nellis Plaza                                                    ,36.2,-115.3,3,5,0,3,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.                                                                                                                                                                                                                      ",2014
NJ,Annual motorcycle event in Newark                               ,40.7,-74.2,1,1,3,4,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.                                                                                               ",2015
NJ,"Trenton, NJ sidewalk shooting                                   ",40.2,-74.7,0,0,5,5,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five.                                                                                                                                                                                                                                                                                                                                                                       ",2016
NM,South Valley Residence                                          ,35.2,-106.8,5,5,0,5,"On January 19, 2013, a 15-year old homeschooled student shot and killed his mother and three younger siblings in their residential home in South Valley, New Mexico. The shooter then waited up five hours for his father, a former pastor, to arrive home. When the father got home, the son shot him several times and killed him. Apparently, he was planning to go on a killing spree afterwards. Instead he went to church and was later arrested.                                                                                                   ",2013
NM,"Albuquerque, NM Family restaurant shooting                      ",35.1,-106.6,2,3,1,3,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2016
NY,Schuyler County Office Building                                 ,42.4,-76.9,4,5,0,4,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.                                                                                                                                                                                                                                                                                         ",1992
NY,Mohawk and Herkimer Villages in New York                        ,43,-75,4,5,2,6,"On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.                                                                           ",2013
NY,Immigration Services Center in Binghamton                       ,42.1,-75.9,13,14,4,17,"On April 3, 2009, a 41-year old unemployed man entered an immigration services center in Binghamton, New York, where he previously took classes. He shot and killed thirteen people in the building and injured four others before he committed suicide.                                                                                                                                                                                                                                                                                                  ",2009
NY,Queens                                                          ,40.7,-73.9,3,4,1,4,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.                                                                                                                                                                                                                                                                                                                                                                ",2015
NY,Long Island Rail Road Commuter Train                            ,40.7,-73.6,6,6,19,25,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.                                                                                                                                                                                                                                                                             ",1993
NY,Parking lot near Boys and Girls Club                            ,43.2,-77.6,3,3,4,7,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement                                                                                                                                                                                                                                                                                                                     ",2015
NC,Boom Boom Room                                                  ,34.9,-80,0,0,4,4,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.                                                                                                                                                                                                                                                                             ",2015
NC,"King, North Carolina                                            ",36.3,-80.4,3,4,0,3,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.                                                                                                                                                                                                                                                                                                                                 ",2015
NC,Downtown Chapel Hill                                            ,35.9,-79,2,2,2,4,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.                                                                                                                                                           ",1995
NC,"Louisburg, North Carolina                                       ",36.1,-78.3,3,3,0,3,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday  the day before the shootings.                                                                                                                                                                                                                                                                         ",2016
NC,Orange High School                                              ,36,-79.1,1,1,2,3,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.                                                                                                                                                                                                       ",2006
OH,"Columbus, Ohio                                                  ",40,-83,3,4,1,4,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.                                                                                                                                                                                                                                                                                                                ",2015
OH,"Colerain Township, Ohio                                         ",39.3,-84.6,2,2,1,3,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.                                                                                                                                                                                                                                                                                                                                                                                                                   ",2015
OH,SuccessTech Academy                                             ,41.5,-81.7,0,1,4,4,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide.                                                                                                                                                                                                                                                ",2007
OH,Case Western Reserve University                                 ,41.5,-81.7,1,1,2,3,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.                                                                                                                                                                                                                                                                                        ",2003
OK,Oklahoma City Residence                                         ,35.5,-97.5,4,4,0,4,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.                                                                                                                                                                                                                                                                           ",2013
OK,Fort Gibson Middle School                                       ,35.8,-95.3,0,0,4,4,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.                                                                                                                                                                                                                                                                                                                            ",1999
OK,"Post office in Edmond, Oklahoma                                 ",35.7,-97.4,14,15,6,20,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.                                                                                                                                                                                                                                                                                                             ",1986
OR,Umpqua Community College                                        ,43.2,-123.4,9,10,7,16,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.                                                                                      ",2015
OR,Thurston High School                                            ,44.1,-123,4,4,25,29,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.                                                                                                                                                                                                                                                                         ",1998
PA,Duquesne University                                             ,40.4,-80,0,0,5,5,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.                                                                                                                                        ",2006
PA,"Pennsburg, Souderton, Lansdale, Harleysville                    ",40.4,-75.5,6,7,1,7,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.                                                                                                                 ",2014
PA,Monroeville Macy's                                              ,40.4,-79.8,0,0,3,3,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.                                                                                                                                                                                                                                                                                                                       ",2015
PA,Parker Middle School Dance                                      ,41.9,-80.1,1,1,3,4,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.                                                                                                                                                                                                                                      ",1998
SC,R.E. Phelon Company                                             ,33.5,-81.7,4,4,3,7,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.                                                                                                                                                                            ",1997
SC,Johnston Post Office                                            ,33.8,-81.8,1,1,3,4,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.                                                                                                                                                                                                                                                                                                  ",1983
SD,"Platte, South Dakota                                            ",43.4,-98.8,5,6,0,5,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.                                                                                                                                                                                                                                                                                                                                         ",2015
TN,"Amnicola Training Center, Chattanooga                           ",35.1,-85.2,4,5,3,7,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.                                                                                                                                                                                                                                                                                                                                     ",2015
TN,"Memphis, TN gas station shooting                                ",35.1,-90,0,0,4,4,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2016
TN,"Bristol, Tennessee                                              ",36.6,-82.2,3,3,1,4,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.                                                                                                                                                                                                                                                                                                                                                                                                                                             ",2015
TX,"Sherman, Texas                                                  ",33.6,-96.6,3,4,0,3,"A man shot and killed his wife and two boys, then he turned the gun on himself.                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",2016
TX,Ianni's Club in Dallas                                          ,32.8,-96.8,6,6,1,7,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person.                                                                                                                                                                                                                                                                                                   ",1984
TX,Wedgwood Baptist Church                                         ,32.7,-97.3,7,8,7,14,"On September 15,1999, a 47-year-old man entered the Wedgwood Baptist Church in Fort Worth, Texas during a prayer rally and began shooting, killing seven and wounding seven others before killing himself.                                                                                                                                                                                                                                                                                                                                                ",1999
TX,University of Texas at Austin                                   ,30.2,-97.8,16,17,32,48,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.                                                                                                                                                                                                   ",1966
TX,Fort Hood                                                       ,31.1,-97.7,3,4,16,19,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide.                                                                                                                                                                                                                                                                                                                                                                       ",2014
TX,Houston Drive-by                                                ,29.8,-95.4,0,0,5,5,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.                                                                                                                                                                                                                                                                                                                                                                                                          ",2016
TX,Palo Duro High School                                           ,35.2,-101.9,0,0,6,6,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.                                                                                                                                                                                                                                                                                                                    ",1992
TX,"Luby's Cafeteria in Killeen, Texas                              ",31.1,-97.7,23,24,20,43,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.                                                                                                                                                                                                                                                                                                                      ",1991
TX,"Sherman, TX Family murder-suicide                               ",33.6,-96.6,3,4,0,3,"Husband murders his wife and two young children in Sherman, TX, then commits suicide                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",2016
TX,Killeen                                                         ,31.1,-97.7,3,4,1,4,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself.                                                                                                                                                                                                                                                                                                                                                              ",2015
UT,Weber State University                                          ,41.2,-112,0,1,3,3,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.                                                                                                                                                                                                                                                                                                                  ",1993
VA,"Caroline County, VA Family Murder Suicide                       ",38,-77.3,1,2,2,3,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",2016
VA,Virginia WDBJ live TV interview shooting                        ,37.3,-80,2,3,1,3,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.                                                                                                                                                                            ",2015
VA,"Chesapeake, Virginia                                            ",36.8,-76.3,5,6,0,5,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.                                                                                                                                                                                                 ",2016
VA,"Richmond, Virginia                                              ",37.5,-77.4,1,2,2,3,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the ",2016
VA,"Woodbridge, Virginia                                            ",38.7,-77.4,2,2,2,4,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.                                                                                                                                                                                                                                                                                                                    ",2016
WA,Wah Mee Club in Seattle                                         ,47.6,-122.3,13,13,1,14,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.                                                                                                                                                                                                                                                                                                                                         ",1983
WA,"Belfair, WA Family murder-suicide                               ",47.5,-122.8,4,5,0,4,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.                                                                                                                                                                                                                                                                                                                                                                      ",2016
WA,Fairchild Air Force Base Hospital                               ,47.6,-117.6,4,5,23,27,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.                                                                                 ",1994
WA,St. Aloysius Church                                             ,47.7,-117.4,1,2,4,5,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.                                                                                                                                                                                                                                                                                                                                     ",1971
WA,Pinewood Village Apartments                                     ,47.3,-122.3,4,5,0,4,"On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police.                                                                                                                                                                             ",2013
WA,"Carnation, Washington                                           ",47.6,-121.9,6,6,0,6,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.                                                                                                                                                                                               ",2007
WA,Marysville-Pilchuck High School                                 ,48,-122.1,4,5,1,5,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days.                                                                                                                                 ",2014
WI,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,44.2,-88.4,3,4,1,4,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.                                                                                                                                                                                                                                                                                                                                     ",2015
WI,Milwaukee Post Office                                           ,43.1,-88,1,2,2,3,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.                                                                                                                                                                                                                                                                                                               ",1997
WI,"Apartment in Crandon, Wisconsin                                 ",45.6,-88.9,6,7,1,7,"In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.                                                                                                                                                                                                                                                                                    ",2007
WI,Azana Spa in Brookfield                                         ,43.1,-88.1,3,4,4,7,"On October 21, 2012, a 45-year old man went to Azana Spa in Brookfield, Wisconsin, where his estranged wife worked. He shot and killed his ex-wife and two of her co-workers and injured four others before committing suicide.                                                                                                                                                                                                                                                                                                                           ",2012
WY,Central Middle School                                           ,44.8,-107,0,1,4,4,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.                                                                                                                                                                                                                                                                              ",1993
