state_abbr,Year,mass_shootings
NY,1974,1
CA,1979,1
SC,1979,1
FL,1982,1
KS,1985,1
OK,1986,1
IL,1988,1
CA,1992,1
MA,1992,1
CA,1993,1
MI,1993,1
NC,1993,1
KY,1994,1
NC,1995,1
TN,1995,1
CA,1997,1
KY,1997,1
CT,1998,1
PA,1998,1
CO,1999,1
GA,1999,1
TX,1999,1
IL,2001,1
VA,2002,1
MS,2003,1
OH,2003,1
OH,2004,1
TX,2005,1
CA,2006,1
PA,2006,2
WA,2006,1
NV,2007,1
OR,2007,1
UT,2007,1
AZ,2008,1
NY,2009,1
AZ,2011,1
CA,2011,1
NV,2011,1
AL,2012,1
CA,2012,1
WA,2012,1
WI,2012,1
AL,2013,1
AZ,2013,1
CA,2013,2
FL,2013,1
WA,2013,1
FL,2014,1
AL,2015,1
AZ,2015,1
CO,2015,1
FL,2015,2
GA,2015,2
ID,2015,1
IN,2015,1
LA,2015,1
MN,2015,1
NC,2015,1
NE,2015,1
NJ,2015,1
NM,2015,1
NY,2015,2
OH,2015,1
OK,2015,1
SD,2015,1
TN,2015,1
TX,2015,1
WI,2015,2
AL,2016,1
AZ,2016,1
CA,2016,3
FL,2016,3
GA,2016,2
IL,2016,1
KS,2016,1
LA,2016,1
MD,2016,1
MI,2016,3
MO,2016,2
NM,2016,1
TX,2016,3
VA,2016,3
WA,2016,1
USA,1966,2
USA,1972,1
USA,1974,1
USA,1976,1
USA,1982,1
USA,1984,2
USA,1986,1
USA,1988,1
USA,1989,1
USA,1992,2
USA,1993,3
USA,1994,1
USA,1995,2
USA,1996,1
USA,1997,4
USA,1999,2
USA,2000,1
USA,2003,1
USA,2004,1
USA,2005,1
USA,2006,1
USA,2007,4
USA,2008,3
USA,2009,2
USA,2010,1
USA,2011,2
USA,2012,6
USA,2013,3
USA,2014,6
USA,2015,20
USA,2016,24