Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
AL,Wetumpka Drive-by                                               ,32.5,-86.2,2,2,2,4,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.                                                                                                                                                                                                                                                                                                                                                                                                ",2016
AL,Birmingham's Washington Park                                    ,33.5,-86.8,1,1,2,3,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.                                                                                                                                                                                                                                                       ",2015
AL,Alabama highway random shooting                                 ,34.2,-86.5,0,1,4,4,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.                                                                                                                                                                                                                                                                                                                                                              ",2016
AL,Ensley Birmingham                                               ,33.5,-86.8,5,5,0,5,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.                                                                                                                                                                                                                                                                                     ",2012
AZ,Tucson                                                          ,32.2,-111,4,5,0,4,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.                                                                                                                                                                                                                                                                                                                                                                                                    ",2015
AZ,University of Arizona College of Nursing                        ,32.2,-111,3,4,0,3,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.                                                                                                                                                                                                                                                                                                                ",2002
AZ,Wat Promkunaram Buddhist Temple                                 ,33.6,-112.1,9,9,0,9,"On the evening on August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.                                                                                                                                                                             ",1991
AZ,Arizona Family Murder                                           ,33.4,-112.1,4,5,0,4,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.                                                                                                                                                                                                                                                                                                                                                                                                              ,2016
AR,Westside Middle School                                          ,35.8,-90.7,5,5,10,15,"On March 24, 1998, a 13-year-old boy stole his mother's car that he and an 11-year-old cousin had loaded with guns and ammunition. When they arrived to Westside Middle School in Jonesboro, Arkansas, the younger boy pulled the fire alarm and met the elder on a hill overlooking the evacuation meeting site. They boys then began shooting at the crowd, killing four students and a teacher and wounding ten others before being arrested.                                                                                                          ",1998
CA,Santana High School                                             ,32.9,-117.1,2,2,13,15,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.                                                                                                                                                                                                                                                                                               ",2001
CA,Orange Glenn Post Office                                        ,33.1,-117.1,3,4,1,4,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.                                                                                                                                                                                                                                                     ",1989
CA,Cal State Fullerton                                             ,33.9,-117.9,7,7,2,9,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others.                                                                                                                                                                                                                                                                                                                        ",1976
CA,"Covina, California                                              ",34.1,-117.9,9,10,2,11,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.                                                                                                                                                                                   ",2008
CA,San Francisco Tenderloin                                        ,37.8,-122.4,0,0,8,8,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.                                                                                                                                                                                                                                                                               ",2014
CA,Cleveland Elementary School                                     ,38,-121.3,5,6,30,35,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.                                                                                                                                                                                                                                       ",1989
CA,Riverside City Hall                                             ,33.9,-117.4,0,0,6,6,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.                                                                                                                                                                                                                                                                                ",1998
CA,Isla Vista                                                      ,34.4,-119.9,3,7,7,10,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide.                                                 ",2014
CA,Electromagnetic Systems Laboratory (ESL)                        ,37.4,-122,7,7,4,11,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.                                                     ",1988
CA,San Diego State University                                      ,32.9,-117.1,3,3,0,3,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.                                                                                   ",1996
CA,Cedarville Rancheria Tribe                                      ,41.5,-120.5,4,4,2,6,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.                                                                                                                                                                                                                                                                                                                           ",2014
CO,"Colorado Springs, Colorado                                      ",38.9,-104.8,3,3,9,12,"On Friday of November 27, 2015, the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.                                                                                                                                                                                       ",2015
CO,Chuck E. Cheese in Aurora                                       ,39.7,-104.8,4,4,1,5,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.                                                                                                                                                                                                                                                 ",1993
CT,Hartford Beer Distributors                                      ,41.8,-72.5,8,9,2,10,"On August 3, 2010, a 34-year old man was called into his place of employment at Hartford Beer Distributors in Manchester, Connecticut for disciplinary purposes. He signed resignation papers after he was accused of stealing beer and while he was been escorted out of the building, he opened fire killing eight coworkers and injuring two others before committing suicide.                                                                                                                                                                         ",2010
DE,"Wilmington, DE robbery                                          ",39.7,-75.5,0,1,4,5,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.                                                                                                                                                                                                                                                                                                                                                                                                                     ",2016
FL,Pinellas Park High School                                       ,27.8,-82.7,1,1,2,3,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.                                                                                                                                                                                                                                                     ",1988
FL,Moon Lake                                                       ,28.2,-82.7,3,3,1,4,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.                                                                                                                                                                                                                                          ",2015
FL,"Tampa, FL Strip club shooting                                   ",28,-82.5,2,2,6,8,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.                                                                                                                                                                                                                                                                                                                                                                                                           ",2016
FL,"Jacksonville, Florida                                           ",30.3,-81.7,3,4,1,4,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.                                                                                                                                                                                                                                                                                                           ",2015
FL,Palm Bay Shopping Centers                                       ,28,-80.7,6,6,14,20,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.                                                                                                                                                                                                                                     ",1987
FL,GMAC Loan Office                                                ,30.3,-81.7,11,12,6,17,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.                                                                                                                                                                     ",1990
FL,"Inglis, Florida                                                 ",29,-82.7,2,3,1,3,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.                                                                                                                                                                                                ",2015
GA,"Roswell, GA Hookah shootout                                     ",34,-84.4,0,0,4,4,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries.                                                                                                                                                                                                                                                                                                                                      ",2016
GA,Clarkesville                                                    ,34.6,-83.5,2,3,2,4,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.                                                                                                                                                                                                                                                                                                                            ",2015
GA,Hill Haven Event Center (Formerly Club CJ's)                    ,33,-84.7,0,0,10,10,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.                                                                                                                                                                                                                                                                                                                                                                                              ,2015
GA,Atlanta Post Office                                             ,33.8,-84.4,2,2,1,3,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.                                                                                                                                                                                                                                                                                                                                             ",1985
GA,LaGrange                                                        ,33,-85,5,5,0,5,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.                                                                                                                                                                                                                                                                                                                                 ",2015
GA,Offices of All-Tech Investment Group and Momentum Securities    ,33.8,-84.4,9,10,12,21,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.                                                                                                                                                                                                   ",1999
IL,River Forest                                                    ,41.9,-87.8,1,2,3,4,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.                                                                                                                                                                                                                                                                                                                  ,2015
IL,Village of Manchester in Illinois                               ,39.5,-90.3,6,7,1,7,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.                                               ",2013
IL,Club Maxey's                                                    ,39.9,-88.9,1,1,4,5,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.                                                                                                                                                                                                                                                                                                                                                                         ",2015
IL,Chicago Birthday Party Bus Shooting                             ,41.9,-87.6,0,0,5,5,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects.                                                                                                                                                                                                                                                                                                                                     ,2016
IA,University of Iowa                                              ,41.7,-91.5,5,6,1,6,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.                                                                                                                                                                  ",1991
KS,Kansas City Home Invasion                                       ,39.1,-94.6,4,4,0,4,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.                                                                                                                                                                                                                                                                                                                                                                                             ",2016
KY,"Louisville, KY Family Murder-Suicide                            ",38.3,-85.8,3,4,0,3,Husband murders his wife and two children before committing suicide at their Kentucky home                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2016
KY,Atlantis Plastics                                               ,37.8,-87.6,6,7,1,7,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.                                                                                                                                                                                                                                                       ",2008
LA,New Orleans Downtown Post Office                                ,30.1,-89.9,0,0,4,4,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.                                                                                                                                                                                                                         ",1988
LA,New Orleans gas station shoot-out                               ,30,-90.1,0,0,3,3,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.                                                                                                                                                                                                                                                                                                                                                                                           ",2016
ME,"Oakland, Maine                                                  ",44.5,-69.7,3,4,0,3,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.   ",2015
MA,Massachusetts Abortion Clinic                                   ,42.3,-71.1,2,2,5,7,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one.                                                                                                                                                                                                                                                                                             ",1994
MA,"Chelsea, MA empty apartment party shooting                      ",42.4,-71,1,1,6,7,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot                                                                                                                                                                                                                                                                                                                                                                                                                ",2016
