Year,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,Misc,MMO,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
1970,6                                                 ,0                                                 ,3                                                 ,0                                                 ,0                                                 ,2                                                 ,4                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,3                                                 ,1                                                 ,16                                                ,0                                                 ,8                                                 ,1                                                 ,3                                                 ,4                                                 ,0                                                 
1977,2                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 
1978,7                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,5                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,3                                                 ,3                                                 ,0                                                 ,0                                                 ,2                                                 ,0                                                 ,3                                                 ,0                                                 ,0                                                 
1979,1                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 
1980,1                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,1                                                 ,4                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,1                                                 ,0                                                 ,0                                                 ,0                                                 ,7                                                 ,1                                                 ,0                                                 
1981,5                                                 ,0                                                 ,2                                                 ,0                                                 ,0                                                 ,0                                                 ,2                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,1                                                 ,0                                                 ,0                                                 ,5                                                 ,0                                                 ,3                                                 ,1                                                 ,0                                                 
1982,51                                                ,2                                                 ,3                                                 ,0                                                 ,0                                                 ,0                                                 ,3                                                 ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,6                                                 ,1                                                 ,3                                                 ,0                                                 ,22                                                ,4                                                 ,3                                                 ,3                                                 ,0                                                 
1983,79                                                ,1                                                 ,6                                                 ,0                                                 ,0                                                 ,0                                                 ,5                                                 ,0                                                 ,0                                                 ,0                                                 ,15                                                ,8                                                 ,5                                                 ,1                                                 ,0                                                 ,22                                                ,0                                                 ,6                                                 ,1                                                 ,1                                                 
1984,15                                                ,0                                                 ,6                                                 ,0                                                 ,0                                                 ,1                                                 ,6                                                 ,0                                                 ,0                                                 ,0                                                 ,3                                                 ,2                                                 ,1                                                 ,1                                                 ,0                                                 ,6                                                 ,0                                                 ,1                                                 ,2                                                 ,0                                                 
1985,5                                                 ,0                                                 ,6                                                 ,0                                                 ,0                                                 ,1                                                 ,10                                                ,0                                                 ,0                                                 ,0                                                 ,4                                                 ,4                                                 ,2                                                 ,4                                                 ,0                                                 ,5                                                 ,1                                                 ,4                                                 ,0                                                 ,0                                                 
1986,11                                                ,0                                                 ,9                                                 ,0                                                 ,0                                                 ,3                                                 ,9                                                 ,0                                                 ,0                                                 ,0                                                 ,12                                                ,2                                                 ,2                                                 ,5                                                 ,0                                                 ,10                                                ,5                                                 ,4                                                 ,1                                                 ,0                                                 
1987,19                                                ,0                                                 ,13                                                ,0                                                 ,0                                                 ,4                                                 ,14                                                ,0                                                 ,0                                                 ,0                                                 ,16                                                ,8                                                 ,5                                                 ,8                                                 ,0                                                 ,18                                                ,4                                                 ,18                                                ,3                                                 ,0                                                 
1988,30                                                ,0                                                 ,13                                                ,0                                                 ,0                                                 ,0                                                 ,13                                                ,0                                                 ,0                                                 ,0                                                 ,18                                                ,2                                                 ,5                                                 ,14                                                ,0                                                 ,20                                                ,3                                                 ,18                                                ,5                                                 ,0                                                 
1989,41                                                ,0                                                 ,18                                                ,0                                                 ,0                                                 ,4                                                 ,20                                                ,0                                                 ,0                                                 ,0                                                 ,20                                                ,11                                                ,11                                                ,24                                                ,0                                                 ,30                                                ,7                                                 ,23                                                ,9                                                 ,0                                                 
1990,64                                                ,0                                                 ,13                                                ,0                                                 ,0                                                 ,6                                                 ,26                                                ,0                                                 ,0                                                 ,0                                                 ,38                                                ,41                                                ,15                                                ,32                                                ,0                                                 ,39                                                ,7                                                 ,35                                                ,17                                                ,0                                                 
1991,67                                                ,1                                                 ,18                                                ,0                                                 ,0                                                 ,6                                                 ,32                                                ,0                                                 ,0                                                 ,0                                                 ,62                                                ,26                                                ,20                                                ,34                                                ,0                                                 ,49                                                ,11                                                ,43                                                ,24                                                ,0                                                 
1992,73                                                ,0                                                 ,20                                                ,0                                                 ,0                                                 ,17                                                ,38                                                ,0                                                 ,0                                                 ,0                                                 ,82                                                ,25                                                ,23                                                ,49                                                ,0                                                 ,45                                                ,10                                                ,61                                                ,24                                                ,0                                                 
1993,74                                                ,1                                                 ,29                                                ,0                                                 ,0                                                 ,29                                                ,44                                                ,0                                                 ,0                                                 ,0                                                 ,100                                               ,28                                                ,20                                                ,40                                                ,0                                                 ,33                                                ,18                                                ,71                                                ,35                                                ,0                                                 
1994,60                                                ,1                                                 ,35                                                ,0                                                 ,1                                                 ,54                                                ,63                                                ,0                                                 ,0                                                 ,0                                                 ,96                                                ,27                                                ,23                                                ,49                                                ,0                                                 ,40                                                ,21                                                ,86                                                ,25                                                ,0                                                 
1995,50                                                ,0                                                 ,60                                                ,0                                                 ,0                                                 ,51                                                ,73                                                ,0                                                 ,0                                                 ,0                                                 ,57                                                ,35                                                ,25                                                ,45                                                ,0                                                 ,44                                                ,32                                                ,79                                                ,30                                                ,0                                                 
1996,37                                                ,0                                                 ,62                                                ,0                                                 ,1                                                 ,52                                                ,77                                                ,0                                                 ,0                                                 ,0                                                 ,43                                                ,31                                                ,34                                                ,38                                                ,0                                                 ,73                                                ,33                                                ,82                                                ,47                                                ,0                                                 
1997,39                                                ,1                                                 ,45                                                ,0                                                 ,0                                                 ,35                                                ,63                                                ,0                                                 ,0                                                 ,0                                                 ,22                                                ,24                                                ,40                                                ,37                                                ,0                                                 ,59                                                ,38                                                ,62                                                ,50                                                ,0                                                 
1998,43                                                ,1                                                 ,55                                                ,0                                                 ,0                                                 ,34                                                ,70                                                ,0                                                 ,0                                                 ,0                                                 ,23                                                ,18                                                ,44                                                ,45                                                ,0                                                 ,39                                                ,38                                                ,66                                                ,71                                                ,0                                                 
1999,56                                                ,0                                                 ,55                                                ,0                                                 ,0                                                 ,30                                                ,87                                                ,0                                                 ,0                                                 ,0                                                 ,35                                                ,36                                                ,60                                                ,56                                                ,0                                                 ,37                                                ,43                                                ,78                                                ,69                                                ,1                                                 
2000,89                                                ,1                                                 ,77                                                ,0                                                 ,0                                                 ,36                                                ,87                                                ,0                                                 ,1                                                 ,0                                                 ,37                                                ,40                                                ,86                                                ,66                                                ,0                                                 ,38                                                ,48                                                ,109                                               ,65                                                ,0                                                 
2001,90                                                ,0                                                 ,81                                                ,0                                                 ,1                                                 ,22                                                ,83                                                ,1                                                 ,0                                                 ,1                                                 ,40                                                ,29                                                ,68                                                ,72                                                ,1                                                 ,46                                                ,39                                                ,107                                               ,66                                                ,0                                                 
2002,97                                                ,0                                                 ,83                                                ,0                                                 ,0                                                 ,39                                                ,87                                                ,0                                                 ,0                                                 ,1                                                 ,52                                                ,30                                                ,80                                                ,63                                                ,0                                                 ,75                                                ,39                                                ,159                                               ,63                                                ,0                                                 
2003,102                                               ,2                                                 ,90                                                ,0                                                 ,0                                                 ,35                                                ,92                                                ,0                                                 ,0                                                 ,0                                                 ,56                                                ,28                                                ,94                                                ,71                                                ,0                                                 ,74                                                ,44                                                ,114                                               ,67                                                ,0                                                 
2004,99                                                ,2                                                 ,110                                               ,0                                                 ,0                                                 ,33                                                ,95                                                ,1                                                 ,0                                                 ,0                                                 ,50                                                ,24                                                ,50                                                ,61                                                ,0                                                 ,90                                                ,34                                                ,93                                                ,62                                                ,1                                                 
2005,142                                               ,1                                                 ,81                                                ,0                                                 ,0                                                 ,35                                                ,121                                               ,0                                                 ,0                                                 ,2                                                 ,57                                                ,33                                                ,68                                                ,78                                                ,0                                                 ,93                                                ,37                                                ,99                                                ,63                                                ,1                                                 
2006,150                                               ,1                                                 ,111                                               ,0                                                 ,0                                                 ,38                                                ,134                                               ,0                                                 ,0                                                 ,1                                                 ,59                                                ,59                                                ,86                                                ,86                                                ,0                                                 ,80                                                ,66                                                ,120                                               ,65                                                ,0                                                 
2007,154                                               ,3                                                 ,124                                               ,0                                                 ,1                                                 ,46                                                ,190                                               ,1                                                 ,0                                                 ,0                                                 ,76                                                ,91                                                ,74                                                ,104                                               ,0                                                 ,119                                               ,86                                                ,131                                               ,86                                                ,0                                                 
2008,146                                               ,4                                                 ,197                                               ,0                                                 ,0                                                 ,49                                                ,248                                               ,1                                                 ,0                                                 ,0                                                 ,69                                                ,121                                               ,68                                                ,94                                                ,0                                                 ,123                                               ,111                                               ,171                                               ,87                                                ,1                                                 
2009,286                                               ,2                                                 ,241                                               ,0                                                 ,0                                                 ,60                                                ,422                                               ,0                                                 ,1                                                 ,1                                                 ,97                                                ,224                                               ,120                                               ,157                                               ,0                                                 ,215                                               ,133                                               ,176                                               ,117                                               ,1                                                 
2010,235                                               ,3                                                 ,208                                               ,0                                                 ,0                                                 ,57                                                ,336                                               ,1                                                 ,1                                                 ,1                                                 ,72                                                ,155                                               ,76                                                ,150                                               ,0                                                 ,159                                               ,113                                               ,156                                               ,106                                               ,2                                                 
2011,240                                               ,3                                                 ,175                                               ,0                                                 ,0                                                 ,58                                                ,335                                               ,3                                                 ,2                                                 ,1                                                 ,100                                               ,134                                               ,89                                                ,161                                               ,0                                                 ,166                                               ,71                                                ,110                                               ,92                                                ,4                                                 
2012,80                                                ,26                                                ,32                                                ,0                                                 ,0                                                 ,23                                                ,360                                               ,2                                                 ,10                                                ,4                                                 ,22                                                ,18                                                ,20                                                ,47                                                ,0                                                 ,44                                                ,24                                                ,45                                                ,16                                                ,7                                                 
2013,91                                                ,30                                                ,24                                                ,0                                                 ,1                                                 ,11                                                ,468                                               ,2                                                 ,9                                                 ,2                                                 ,26                                                ,25                                                ,12                                                ,32                                                ,0                                                 ,45                                                ,22                                                ,32                                                ,26                                                ,4                                                 
2014,223                                               ,42                                                ,104                                               ,0                                                 ,0                                                 ,22                                                ,637                                               ,3                                                 ,13                                                ,1                                                 ,40                                                ,64                                                ,28                                                ,87                                                ,0                                                 ,53                                                ,34                                                ,41                                                ,51                                                ,9                                                 
2015,201                                               ,21                                                ,74                                                ,0                                                 ,0                                                 ,22                                                ,146                                               ,4                                                 ,18                                                ,1                                                 ,33                                                ,27                                                ,23                                                ,76                                                ,0                                                 ,36                                                ,35                                                ,53                                                ,39                                                ,8                                                 
2016,129                                               ,28                                                ,87                                                ,0                                                 ,0                                                 ,18                                                ,47                                                ,3                                                 ,12                                                ,2                                                 ,29                                                ,22                                                ,15                                                ,86                                                ,0                                                 ,44                                                ,26                                                ,36                                                ,28                                                ,7                                                 
2017,159                                               ,12                                                ,96                                                ,3                                                 ,0                                                 ,42                                                ,21                                                ,6                                                 ,14                                                ,8                                                 ,46                                                ,36                                                ,41                                                ,80                                                ,0                                                 ,60                                                ,40                                                ,34                                                ,32                                                ,13                                                
2018,111                                               ,52                                                ,71                                                ,3                                                 ,0                                                 ,40                                                ,26                                                ,5                                                 ,13                                                ,8                                                 ,55                                                ,40                                                ,41                                                ,85                                                ,1                                                 ,35                                                ,44                                                ,49                                                ,28                                                ,34                                                
2019,49                                                ,36                                                ,32                                                ,2                                                 ,1                                                 ,11                                                ,10                                                ,2                                                 ,3                                                 ,1                                                 ,18                                                ,7                                                 ,13                                                ,63                                                ,2                                                 ,37                                                ,17                                                ,11                                                ,19                                                ,30                                                
2020,22                                                ,1                                                 ,8                                                 ,0                                                 ,0                                                 ,1                                                 ,80                                                ,0                                                 ,0                                                 ,0                                                 ,4                                                 ,6                                                 ,6                                                 ,10                                                ,0                                                 ,13                                                ,4                                                 ,6                                                 ,5                                                 ,0                                                 
