year;state_abbr;violentCrimePer100Capita;totalCrimePer100Capita;ViolentRatio
2007;NH;0.144091781;4.2999540973;3.3510074231
2008;NH;0.1561016835;4.6269633359;3.3737393647
2009;NH;0.1604288168;4.6679123492;3.4368429565
2010;NH;0.1673745659;4.7742759569;3.5057580963
2011;NH;0.2173307624;5.4059509473;4.0202133633
2012;NH;0.2149639419;5.2836790084;4.0684519547
2013;NH;0.2231940336;5.0992880776;4.3769645928
2014;NH;0.197666258;4.3587480685;4.5349319328
2015;NH;0.2023891239;3.9664358839;5.1025436901
2016;NH;0.1998479418;3.487900885;5.7297483034
2017;NH;0.1957374865;3.1400975131;6.2334843337
2018;NH;0.1731715984;2.8432874442;6.0905413815
1979;NJ;0.5011865794;11.6411620295;4.3052968261
1980;NJ;0.604358606;12.8026560017;4.72057209
1981;NJ;0.6306445075;12.359600054;5.1024669467
1982;NJ;0.6073541275;11.3522721162;5.350066676
1983;NJ;0.5530798072;10.3267273701;5.3558091286
1984;NJ;0.5277312043;9.7109780439;5.4343774836
1985;NJ;0.5444591378;10.1888124835;5.3436957317
1986;NJ;0.572480315;10.4825984252;5.461244357
1987;NJ;0.5410192909;10.5229927007;5.1413063405
1988;NJ;0.5828108808;10.5906735751;5.5030577299
1989;NJ;0.608983971;10.5388572906;5.7784630179
1990;NJ;0.6475521682;10.8944310281;5.9438823976
1991;NJ;0.6347551546;10.8626030928;5.8434902686
1992;NJ;0.6258184619;10.1287199897;6.1786530042
1993;NJ;0.6268562;9.6016499556;6.5286300055
1994;NJ;0.6141700405;9.3218623482;6.5884907709
1995;NJ;0.5997734424;9.407375708;6.3755659499
1996;NJ;0.5315348022;8.6658988483;6.1336372777
1997;NJ;0.4926487023;8.11401962;6.0715739599
1998;NJ;0.44017252;7.3081947012;6.0229993593
1999;NJ;0.4118666721;6.7999261243;6.0569286279
2000;NJ;0.383844266;6.3209873609;6.0725365221
2001;NJ;0.3888326748;6.4302965675;6.0468855634
2002;NJ;0.3761055652;6.0631920788;6.2030950082
2003;NJ;0.3643427321;5.8279563622;6.2516379577
2004;NJ;0.3562741345;5.578615308;6.3864259296
2005;NJ;0.3552621752;5.3844872259;6.5978831463
2006;NJ;0.350160925;5.2580302044;6.6595457122
2007;NJ;0.3286237958;5.0859782268;6.4613685135
2008;NJ;0.3265243224;5.2398222158;6.2315916264
2009;NJ;0.311366705;4.7742588518;6.5217809636
2010;NJ;0.3074574017;4.775152669;6.4386926039
2011;NJ;0.3079083073;4.9106411676;6.2702261642
2012;NJ;0.2901187212;4.6732942035;6.2080132041
2013;NJ;0.2889299694;4.349715682;6.6425024186
2014;NJ;0.2608726587;3.9991860245;6.5231438874
2015;NJ;0.256048372;3.7847013588;6.7653520769
2016;NJ;0.2434839286;3.5774573154;6.80606104
2017;NJ;0.2318040201;3.6156656946;6.4111021221
2018;NJ;0.2080817016;3.2259679498;6.4502098223
1979;NM;0.5859790492;11.5769540693;5.0615994989
1980;NM;0.6149872556;11.958094103;5.1428534542
1981;NM;0.6716654107;12.4012057272;5.4161298948
1982;NM;0.7345106696;13.2153053716;5.5580302457
1983;NM;0.6867762688;12.6923516798;5.4109457892
1984;NM;0.6880617978;12.4867977528;5.5103142645
1985;NM;0.7039310345;12.9724137931;5.4263689527
1986;NM;0.7255578093;13.2517917512;5.4751676072
1987;NM;0.6284666667;13.0936;4.7998004114
1988;NM;0.6581456954;13.2125827815;4.9812039497
1989;NM;0.7038612565;13.1476439791;5.3535162472
1990;NM;0.7802284912;13.3682360341;5.8364356318
1991;NM;0.834754522;13.3586563307;6.2487910557
1992;NM;0.934914611;12.8681846932;7.2653185612
1993;NM;0.9297029703;12.5321782178;7.4185265653
1994;NM;0.8892382104;12.3755743652;7.1854298165
1995;NM;0.8192284866;12.8560237389;6.3723317823
1996;NM;0.8405720957;13.2045534151;6.3657745121
1997;NM;0.8532947977;13.8130635838;6.1774478378
1998;NM;0.961427749;13.4382268279;7.154424176
1999;NM;0.834557581;11.9252070875;6.998264893
2000;NM;0.7578697845;11.0377637509;6.8661533404
2001;NM;0.7803663156;10.6375158048;7.3359826664
2002;NM;0.7407491399;10.1721125416;7.2821563548
2003;NM;0.6672657064;9.5127017368;7.0144710188
2004;NM;0.6873861669;9.7714878461;7.0346110824
2005;NM;0.646318637;9.5559415053;6.7635265097
2006;NM;0.6547122965;9.0859557382;7.2057614559
2007;NM;0.6757144344;8.9830271865;7.5221238938
2008;NM;0.6534613749;8.9384162922;7.3107064329
2009;NM;0.6323920682;8.6927661294;7.2749232953
2010;NM;0.5879724848;8.0277339849;7.3242646793
2011;NM;0.5726727712;8.2218760614;6.9652323499
2012;NM;0.5596244853;8.3275579063;6.7201512322
2013;NM;0.6224558495;8.866330122;7.0204452227
2014;NM;0.5976791923;8.3312595568;7.1739355641
2015;NM;0.6572040563;8.796016782;7.4716098499
2016;NM;0.6993754771;9.3292900464;7.4965562614
2017;NM;0.7786394828;9.3785453772;8.3023480874
2018;NM;0.856579181;8.5525248302;10.0155123541
1979;NV;0.8356125356;17.6632478632;4.7307977677
1980;NV;0.9126440688;17.7080938434;5.1538244426
1981;NV;0.8964497041;17.1839053254;5.2167984353
1982;NV;0.8054483541;15.8020431328;5.0971152741
1983;NV;0.6552188552;13.4026936027;4.8887102447
1984;NV;0.6285400659;13.1220636663;4.7899483027
1985;NV;0.6670940171;13.1491452991;5.0732880497
1986;NV;0.7188992731;12.5794392523;5.7148753508
1987;NV;0.6957298908;12.7428003972;5.4597880299
1988;NV;0.7806603774;12.9062264151;6.0487113138
1989;NV;0.6252925293;12.5434743474;4.985002655
1990;NV;0.600915435;12.1271424566;4.9551280292
1991;NV;0.6770249221;12.5975077882;5.3742766705
1992;NV;0.6968349661;12.407535795;5.6162237015
1993;NV;0.8752339813;12.3602591793;7.0810325948
1994;NV;1.0018531229;13.3548387097;7.501798746
1995;NV;0.9451633987;13.1586928105;7.1828061671
1996;NV;0.8112913288;11.9840299439;6.769770541
1997;NV;0.7987477639;12.1290399523;6.585416216
1998;NV;0.6436176302;10.5609616485;6.0943089431
1999;NV;0.5699037116;9.3060506187;6.1240125913
2000;NV;0.5241568027;8.5371401176;6.1397235542
2001;NV;0.589162911;8.5659586923;6.8779564806
2002;NV;0.6392750945;9.0199796536;7.0873230215
2003;NV;0.6160448166;9.8064986863;6.2820058031
2004;NV;0.6163578519;9.6527152066;6.3853313676
2005;NV;0.6074697975;9.7067488676;6.258221015
2006;NV;0.7488191882;9.6993463109;7.720305722
2007;NV;0.7548583408;9.0811426914;8.3123717624
2008;NV;0.7296839011;8.382461588;8.7048880977
2009;NV;0.7051986599;7.5377825533;9.3555187472
2010;NV;0.6629853458;6.8730232746;9.6461967224
2011;NV;0.5680823874;6.2886852635;9.0334046558
2012;NV;0.6086000565;6.8453800782;8.8906685902
2013;NV;0.6049807021;6.9217415477;8.7402960356
2014;NV;0.63570168;6.5610487475;9.6890254053
2015;NV;0.6976313546;6.787740164;10.2778146744
2016;NV;0.6778590758;6.5807514424;10.3006333204
2017;NV;0.5605898254;6.3909864235;8.7715696493
2018;NV;0.5411298211;5.9586895826;9.0813561197
1979;NY;0.917366423;12.4102215423;7.3920229377
1980;NY;1.0295207147;13.8231041962;7.4478257564
1981;NY;1.0695578038;13.8107877686;7.7443649249
1982;NY;0.9900503992;12.936202503;7.653331022
1983;NY;0.9140714326;11.8051848078;7.7429658874
1984;NY;0.9143332394;11.154508035;8.1969840041
1985;NY;0.9299049654;11.1770904797;8.3197408763
1986;NY;0.9858766599;11.53541526;8.5465207597
1987;NY;1.0080841515;11.9048639551;8.4678342841
1988;NY;1.0973069617;12.6186277796;8.6959293897
1989;NY;1.1311532033;12.5864958217;8.9870383256
1990;NY;1.1809484529;12.7275713705;9.2786629795
1991;NY;1.1639384206;12.4892125374;9.319550109
1992;NY;1.1220873117;11.7168607539;9.5766889718
1993;NY;1.0735395944;11.1026652745;9.6692061581
1994;NY;0.9655622214;10.1412075513;9.5211760185
1995;NY;0.8418780326;9.1202580503;9.230857592
1996;NY;0.727005774;8.2645697003;8.7966560916
1997;NY;0.6885923802;7.8218889563;8.8034026572
1998;NY;0.6377716644;7.1769133425;8.8864339576
1999;NY;0.588829749;6.5588403021;8.9776503453
2000;NY;0.5539021325;6.1991445505;8.9351381954
2001;NY;0.5136250383;5.8270258091;8.8145317207
2002;NY;0.4966475636;5.614223635;8.8462376262
2003;NY;0.4657714994;5.4294551573;8.578604776
2004;NY;0.4404087045;5.2658595291;8.3634723273
2005;NY;0.444399668;5.0925254097;8.7265086036
2006;NY;0.4351766478;4.9993621215;8.7046434573
2007;NY;0.4143596379;4.8045653455;8.6242897758
2008;NY;0.3978697708;4.7833545071;8.31779811
2009;NY;0.3843624115;4.6326851949;8.2967522153
2010;NY;0.3943861179;4.7042758917;8.3835669287
2011;NY;0.3972132361;4.6078232696;8.6204095259
2012;NY;0.4062857179;4.6465069057;8.7438957087
2013;NY;0.3938071699;4.4421263952;8.8652851103
2014;NY;0.3846905983;4.2254898992;9.1040472818
2015;NY;0.3804390733;3.9960940252;9.5202733185
2016;NY;0.3746417046;3.8582726625;9.7100888758
2017;NY;0.3611199773;3.7174337501;9.7142276512
2018;NY;0.3504977354;3.582010611;9.784944086
1979;OH;0.4574783338;10.2596402945;4.4590094844
1980;OH;0.4982535214;10.8627738137;4.5867982701
1981;OH;0.4965571641;10.8947104677;4.5577821048
1982;OH;0.4367157817;9.87107775;4.4241955411
1983;OH;0.3979061977;9.0102549786;4.4161480291
1984;OH;0.3853236607;8.5461495536;4.5087399688
1985;OH;0.3816083395;8.3745718541;4.5567504368
1986;OH;0.4209449405;8.7173921131;4.8287943804
1987;OH;0.4213278932;9.1505934718;4.6043777868
1988;OH;0.4520235467;9.290544518;4.8654150018
1989;OH;0.4685889796;9.4664343999;4.9500050363
1990;OH;0.5061622376;9.6868706564;5.2252399724
1991;OH;0.5618429473;10.0660023768;5.5815896542
1992;OH;0.5259168482;9.3310094408;5.6362267293
1993;OH;0.504147507;8.9706067983;5.6199933664
1994;OH;0.48576833;8.9228967754;5.4440653328
1995;OH;0.4824589723;8.8103847189;5.4760261633
1996;OH;0.4286762732;8.9113219368;4.8104678094
1997;OH;0.4354192741;9.0247630967;4.8247169419
1998;OH;0.3624587385;8.6549379963;4.1878837107
1999;OH;0.3163995269;7.9931389914;3.9583889037
2000;OH;0.3341366353;8.083649105;4.1334876241
2001;OH;0.3513938147;8.3432303595;4.2117237518
2002;OH;0.3517316041;8.223619538;4.2770899417
2003;OH;0.3338526694;7.9678396318;4.1900023701
2004;OH;0.3387468611;8.0020660004;4.2332425282
2005;OH;0.3501273028;8.0355619564;4.3572223657
2006;OH;0.3614826478;8.0994033284;4.4630775023
2007;OH;0.3554486354;7.6470423567;4.6481844722
2008;OH;0.3520487275;7.5240533837;4.6789770032
2009;OH;0.3318563466;7.18641178;4.6178309395
2010;OH;0.3146654593;7.1614343184;4.393888784
2011;OH;0.3051553474;7.2054370992;4.2350705885
2012;OH;0.3014533589;7.0156827243;4.2968499391
2013;OH;0.2914101748;6.4627175671;4.5090965494
2014;OH;0.2856773796;6.1664147911;4.6327953809
2015;OH;0.2961889998;5.861410812;5.0532032189
2016;OH;0.3076690373;5.842063629;5.2664444762
2017;OH;0.2968159903;5.4042269251;5.4922932438
2018;OH;0.2799363734;4.914161001;5.696524255
1979;OK;0.4052213001;9.4060857538;4.308075758
1980;OK;0.4194582794;10.1057825201;4.1506758985
1981;OK;0.4268237573;9.6746287928;4.411784332
1982;OK;0.4439093484;10.4448851117;4.2500165746
1983;OK;0.4234081261;9.8582777441;4.2949502654
1984;OK;0.4074590661;9.785021225;4.1641101918
1985;OK;0.4219933354;10.8500454408;3.8893232075
1986;OK;0.4363993949;12.0281391831;3.62815385
1987;OK;0.417603912;12.0512836186;3.4652234998
1988;OK;0.434538768;11.1782408826;3.8873627127
1989;OK;0.4915322581;11.0052729529;4.4663340943
1990;OK;0.5474975243;11.19734485;4.8895298988
1991;OK;0.5837165354;11.3374488189;5.1485704126
1992;OK;0.6228206725;10.8632627646;5.7332744864
1993;OK;0.6348498917;10.588548437;5.9956272142
1994;OK;0.6514732965;11.1402701044;5.8479129357
1995;OK;0.6641244661;11.1935936547;5.9330764241
1996;OK;0.5970917904;11.3057861254;5.2812938768
1997;OK;0.5595417546;10.9893277058;5.0916832183
1998;OK;0.539378548;10.0077083956;5.3896309388
1999;OK;0.508212519;9.3677152533;5.4251490915
2000;OK;0.4977896944;9.1172282124;5.4598797218
2001;OK;0.5108980144;9.1887281937;5.5600514413
2002;OK;0.5039688225;9.4973779981;5.3063995414
2003;OK;0.5064353913;9.6373873546;5.2549033533
2004;OK;0.5004901312;9.4851606876;5.2765593302
2005;OK;0.5092223889;9.1126085879;5.5881077733
2006;OK;0.5002497756;8.2494694363;6.0640236262
2007;OK;0.5040753973;8.1246979805;6.2042355119
2008;OK;0.5314959171;8.0109577277;6.6346114302
2009;OK;0.5033834637;8.1859481157;6.149360546
2010;OK;0.4813594228;7.8487648477;6.1329321515
2011;OK;0.4574591528;7.6597651845;5.9722346804
2012;OK;0.4743984192;7.8133959505;6.0716034641
2013;OK;0.4460543383;7.4984726655;5.9486025785
2014;OK;0.4137529288;6.917061251;5.9816288126
2015;OK;0.428569893;6.7313061785;6.3668162117
2016;OK;0.4553444896;6.9817533224;6.5219217662
2017;OK;0.457428089;6.6927051548;6.8347264438
2018;OK;0.4661331919;6.6822906668;6.975649745
1979;OR;0.5453502176;12.7459438069;4.2786177776
1980;OR;0.4904084579;13.3738776476;3.6669129989
1981;OR;0.4786928598;14.0738194182;3.401300284
1982;OR;0.4729709324;13.1349943375;3.6008461083
1983;OR;0.4878287002;12.501728024;3.9020901694
1984;OR;0.5060957367;12.4873597607;4.0528642277
1985;OR;0.5510606624;13.4596203945;4.0941768512
1986;OR;0.5496664196;14.1613787991;3.8814470495
1987;OR;0.5395374449;13.937958884;3.870993231
1988;OR;0.5457497264;14.1174024079;3.8657942206
1989;OR;0.5186170213;12.3222695035;4.2087784326
1990;OR;0.5068041224;11.2920391469;4.4881541395
1991;OR;0.5063312799;11.5102669405;4.3989534089
1992;OR;0.5102116224;11.6418542157;4.3825632325
1993;OR;0.5031002639;11.5311345646;4.3629727936
1994;OR;0.5206416073;12.5928062216;4.1344367419
1995;OR;0.5223814072;13.1278573703;3.9791825312
1996;OR;0.4630774032;11.993258427;3.8611475444
1997;OR;0.4444033302;12.5395004625;3.5440273843
1998;OR;0.419804997;11.2932967703;3.7172935901
1999;OR;0.374892119;10.0035161214;3.7476034872
2000;OR;0.3507337203;9.6907726927;3.6192544336
2001;OR;0.3066123766;10.0864819641;3.0398346787
2002;OR;0.2925273161;9.7400972345;3.003330553
2003;OR;0.2947538528;10.1207800625;2.9123629892
2004;OR;0.2986052928;9.8680640191;3.0259764446
2005;OR;0.287012098;9.3788980153;3.0601899873
2006;OR;0.2846443891;8.0195462659;3.549382716
2007;OR;0.2939328157;7.6739013544;3.8302918185
2008;OR;0.2614470483;7.1280138045;3.66788078
2009;OR;0.2605565528;6.5216510524;3.9952544329
2010;OR;0.2513591841;6.5812441446;3.8193262341
2011;OR;0.2492872061;6.7995974385;3.6662053653
2012;OR;0.2471408156;6.9775355204;3.5419499467
2013;OR;0.2427656548;6.8796670526;3.5287413317
2014;OR;0.2592162272;6.749518156;3.8405145558
2015;OR;0.2653657451;6.511325005;4.0754492343
2016;OR;0.268796612;6.5374380597;4.1116506126
2017;OR;0.280447172;6.4705184402;4.3342303191
2018;OR;0.2855361367;6.3590133708;4.4902584732
1979;PA;0.3335862245;6.9908277214;4.7717700654
1980;PA;0.3639309823;7.472678959;4.870154122
1981;PA;0.3717464599;7.3664194201;5.0465014097
1982;PA;0.360446692;6.9055204383;5.219689018
1983;PA;0.3428499369;6.3909709962;5.364598543
1984;PA;0.320594908;6.1190488194;5.2392931884
1985;PA;0.331055429;6.0748839956;5.4495761441
1986;PA;0.3585583312;6.2036840777;5.7797645196
1987;PA;0.3693615952;6.3264577748;5.838363399
1988;PA;0.3619689033;6.3527064106;5.6978692215
1989;PA;0.3786212625;6.7208305648;5.6335486933
1990;PA;0.4310262478;6.9522034958;6.199850854
1991;PA;0.4499958197;7.1170972327;6.32274374
1992;PA;0.4269797652;6.785427596;6.2925992377
1993;PA;0.4174551793;6.5427622842;6.3804118375
1994;PA;0.4266926651;6.543743777;6.5206199946
1995;PA;0.4273194168;6.7297713718;6.3496869838
1996;PA;0.4803002654;7.1127405441;6.7526751812
1997;PA;0.4420965058;6.8629450915;6.4417899302
1998;PA;0.4205482876;6.5459211732;6.4245852725
1999;PA;0.4204680067;6.2273053496;6.7520056125
2000;PA;0.4200290952;5.9906584565;7.0114011385
2001;PA;0.4099128155;5.9146049647;6.9305189094
2002;PA;0.4021307137;5.6849852788;7.0735576951
2003;PA;0.3977928278;5.6560627111;7.0330342519
2004;PA;0.4114576572;5.6575064801;7.2727739448
2005;PA;0.425308504;5.6943988996;7.4688920032
2006;PA;0.4423251862;5.7813351922;7.6509175039
2007;PA;0.4166883834;5.5603922273;7.4938667346
2008;PA;0.4100486501;5.6447642281;7.2642298869
2009;PA;0.3822998077;5.162649972;7.4051080309
2010;PA;0.3665121788;5.0791800607;7.2159713665
2011;PA;0.3624387042;5.173137869;7.0061675024
2012;PA;0.3555492882;5.0444064484;7.0483869966
2013;PA;0.3350599188;4.809606162;6.9664730857
2014;PA;0.3149815062;4.5127052884;6.9798820463
2015;PA;0.315418252;4.2814814745;7.3670353106
2016;PA;0.315857758;4.1447992252;7.6205804162
2017;PA;0.3129679518;3.9145778095;7.9949350099
2018;PA;0.3060187116;3.5918938461;8.5197036625
1979;RI;0.3751345533;11.5390742734;3.2509934887
1980;RI;0.4085279145;11.8652830568;3.4430524121
1981;RI;0.4417016807;11.7035714286;3.7740760021
1982;RI;0.4017745303;10.7281837161;3.745037752
1983;RI;0.3551832461;10.0108900524;3.5479687042
1984;RI;0.3347193347;9.548024948;3.505639507
1985;RI;0.3465909091;9.4469008264;3.6688318789
1986;RI;0.3354871795;9.8049230769;3.4216196992
1987;RI;0.3597363083;10.5709939148;3.403050945
1988;RI;0.3966834171;10.4088442211;3.8110227097
1989;RI;0.3779559118;10.4496993988;3.6169070267
1990;RI;0.4319038849;10.7053167827;4.0344801906
1991;RI;0.4619521912;10.078685259;4.5834568633
1992;RI;0.3945273632;9.1560199005;4.3089395553
1993;RI;0.4017;8.998;4.4643254056
1994;RI;0.3755265797;8.238114343;4.5584045584
1995;RI;0.367979798;8.4890909091;4.3347373932
1996;RI;0.3471717172;7.9870707071;4.3466713881
1997;RI;0.3335359676;7.3088145897;4.5634755607
1998;RI;0.312145749;7.0356275304;4.4366440327
1999;RI;0.2866315644;7.1651835502;4.0003380567
2000;RI;0.2977147223;6.9528454602;4.2819119745
2001;RI;0.3093447987;7.3646333396;4.2004100461
2002;RI;0.2855869837;7.1875064353;3.9733805642
2003;RI;0.2856654313;6.561755402;4.3534910069
2004;RI;0.2475192515;6.2669689124;3.9495847986
2005;RI;0.2524266961;5.9608095911;4.2347720099
2006;RI;0.2304212212;5.6900928242;4.0495160334
2007;RI;0.2291479176;5.6719781591;4.04
2008;RI;0.2527626886;6.1955408703;4.0797517741
2009;RI;0.2542705199;5.7416903957;4.4284958328
2010;RI;0.2573803262;5.6374747275;4.5655251449
2011;RI;0.2461342831;5.8177540294;4.2307440613
2012;RI;0.2529743769;5.6537916641;4.4744198579
2013;RI;0.2572734332;5.4335959231;4.7348650301
2014;RI;0.2199246;4.8220364449;4.5608240937
2015;RI;0.2429881575;4.3148633914;5.6314217968
2016;RI;0.2391340115;4.0961982515;5.8379501385
2017;RI;0.2341725304;3.986612222;5.8739731231
2018;RI;0.2191399914;3.7600904177;5.8280511118
1979;SC;0.6783424284;10.1323328786;6.6948296755
1980;SC;0.6599648824;10.8783096545;6.0667962516
1981;SC;0.6403979785;10.6381554011;6.0198216173
1982;SC;0.7199812676;10.7223228224;6.7147881993
1983;SC;0.6168198529;9.5418504902;6.4643630035
1984;SC;0.6244545455;9.3258787879;6.6959324655
1985;SC;0.6310427248;9.6810875411;6.5183040867
1986;SC;0.6746299586;10.2747779751;6.5658835664
1987;SC;0.6649051095;10.3237372263;6.4405466249
1988;SC;0.7411680504;10.8246779273;6.8470217346
1989;SC;0.813667426;11.2384965831;7.2400024323
1990;SC;0.9765672614;12.0904476234;8.0771803643
1991;SC;0.9725;12.3584269663;7.8691244659
1992;SC;0.9444629475;11.7861226755;8.0133473369
1993;SC;1.0233598682;11.8067526764;8.6675811401
1994;SC;1.0304585153;12.0016375546;8.5859826261
1995;SC;0.9819493602;12.1275796352;8.0968287963
1996;SC;0.9968910516;12.4282779129;8.0211519135
1997;SC;0.9902925532;12.2679255319;8.0722087089
1998;SC;0.9032064651;11.5540667362;7.8172169652
1999;SC;0.847201148;10.6495654877;7.9552649258
2000;SC;0.8281381013;10.6936370081;7.7442136914
2001;SC;0.8151890944;10.7908053051;7.554478756
2002;SC;0.8226825577;10.6033720213;7.7586880484
2003;SC;0.8063886323;10.6560925427;7.5673951694
2004;SC;0.7899202743;10.6537281093;7.4144962793
2005;SC;0.767377305;10.275462316;7.468056243
2006;SC;0.7711196462;10.091249081;7.6414687618
2007;SC;0.7856689269;10.1610156206;7.7321889485
2008;SC;0.7309701326;9.9422295638;7.3521751626
2009;SC;0.6752327546;9.168950036;7.3643410853
2010;SC;0.6021643672;9.0151486725;6.6794723975
2011;SC;0.5968740184;9.0357918991;6.6056636213
